env,lat,lon,start,end,alt,yield,cou
Gurue_IIT_18_2,-15.35047,36.79052,2018-12-31,2019-05-17,783,2843.548958,MOZ
Angonia_IIT_18_2,-14.7475,34.36622,2018-12-30,2019-05-17,1202,4231.706875,MOZ
Mbabzi_MBZ_20_2,-13.946667,33.679333,2020-12-23,2021-05-11,1086,1243.583333,MWI
Zaria_IIT_19_1,11.20916667,7.60277778,2019-07-11,2019-11-27,701,1810.831061,NGA
Bungoma_SFS_20_2,0.599129,34.62169,2020-10-28,2021-03-17,1517,1212.833333,KEN
Bvumbwe_DAR_19_2,-15.9263,35.06727,2019-12-23,2020-05-11,1158,1493.68,MWI
Lisungwi_HFA_18_2,-14.216667,33.7,2018-12-07,2019-04-27,1156,2905.488889,MWI
Lusaka_AFS_21_2,-15.335299,28.390513,2022-01-05,2022-05-26,1167,3406.904833,ZMB
Mpongwe_SCL_22_2,-15.40600169,28.07830844,2022-12-14,2023-05-04,1196,3075.958667,ZMB
Bwanje_DAR_19_1,-14.263817,34.5703,2019-07-14,2019-12-03,503,3277.268908,MWI
Mbawa_DAR_20_2,-12.116617,33.420933,2020-12-15,2021-05-06,1211,2078.533333,MWI
Banket_SCL_18_2,-17.6425,30.399997,2018-12-04,2019-04-26,1260,2534.855444,ZWE
Chongwe_SYA2_19_2,-15.335833,28.526388,2019-12-05,2020-04-27,1140,1120.914874,ZMB
Kayonza_OAF_21_1,-1.88735,30.51627,2021-03-04,2021-07-26,1570,2099.864667,RWA
Nikki_UAC_21_1,9.158,3.025,2021-07-18,2021-12-09,447,2005.805556,BEN
Bunda Farm_CAT_20_2,-14.17703,33.79996,2020-12-12,2021-05-06,1177,3941.043333,MWI
Bungoma_SFS_20_1,0.600465,34.622585,2020-04-16,2020-09-08,1507,1594.804878,KEN
Angonia_IIT_19_2,-14.74701,34.36814,2019-12-30,2020-05-24,1151,2343.172366,MOZ
Harare_SCL_19_2,-17.716667,31.083332,2019-12-18,2020-05-12,1480,3304.488667,ZWE
Bindura_SCL_21_2,-17.545834,31.558332,2021-12-16,2022-05-12,1070,3222.71,ZWE
Chipata_GNA_18_2,-13.637033,32.488033,2018-12-14,2019-05-10,952,2302.233333,MWI
Chitala_DAR_18_2,-13.690117,34.250133,2018-12-14,2019-05-10,615,1794.822222,MWI
Goromonzi_SCL_21_2,-17.661943,31.235619,2021-12-24,2022-05-20,1341,1060.004111,ZWE
Gwebi_CBI_20_2,-17.683332,30.550146,2020-12-21,2021-05-17,1448,2143.669722,ZWE
Mutare_SCL_19_2,-18.893715,32.6024,2019-12-17,2020-05-12,1200,2897.397111,ZWE
Banket_SCL_19_2,-17.6425,30.399998,2019-12-18,2020-05-14,1260,3142.855,ZWE
Chibombo_IIT_20_2,-15.288221,28.295921,2020-12-30,2021-05-27,1197,1941.02395,ZMB
Lusaka_SCL_20_2,-15.404,28.08,2020-12-17,2021-05-14,1219,3171.096807,ZMB
Rubona_RAB_18_2,-2.4834,29.7665,2018-10-17,2019-03-14,0,1437.092727,RWA
Chongwe_SYA_21_2,-15.338356,28.521869,2021-12-28,2022-05-26,1135,3020.35,ZMB
Muranga_SFS_20_1,-0.811378,37.144454,2020-04-16,2020-09-12,1355,2682.933333,KEN
